ano,barrio,titulo,id,descripcion,direccion,longlat,presupuesto,tema,temaResumen,temaScrolli,subtema,beneficiarios,obrasOCampana,votos,estado
2015,VICENTE LÓPEZ,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,157,Compra e instalación de 11 cámaras fijas y domo,Ubicación random dentro del barrio,"-34.532318, -58.479022",543385,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,368,FINALIZADO
2015,VICENTE LÓPEZ,Escuela Secundaria Nº 6,158,Mejoramiento de iluminación de la vía pública,Agustín Álvarez 1459,"-34.5330424,-58.4775113",63414,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,196,FINALIZADO
2015,VICENTE LÓPEZ,Mejoramiento de iluminación,159,Mejoramiento de iluminación,Melo 1400,"-34.52875442,-58.47869301",59262,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,61,FINALIZADO
2015,VILLA ADELINA,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,160,Compra e instalación de 19 cámaras fijas y domo,Ubicación random dentro del barrio,"-34.512987, -58.552969",972926,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,253,FINALIZADO
2015,VILLA ADELINA,Campaña de concientización sobre convivencia responsable con animales de compañía,161,Talleres en escuelas del barrio,Ubicación random dentro del barrio,"-34.514965, -58.535459",60000,EDUCACIÓN,EDUCACIÓN,EDUCACIÓN,EDUCACIÓN,NIÑOS,2,39,FINALIZADO
2015,VILLA ADELINA,Centro Comercial de Paraná,162,"Luminarias para peatón, demarcación horizontal y rampas en esquinas",Paraná 6200-6600,"-34.52484143,-58.54752809",688000,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,141,FINALIZADO
2015,VILLA ADELINA,Escuela de Educación Técnica Nº 1,163,Cambio de sentido de las aberturas y nueva conexión eléctrica con Edenor,Cerrito 3966,"-34.529122, -58.550004",150000,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA EDUCATIVA,EDUCACIÓN,JÓVENES,1,228,FINALIZADO
2015,VILLA ADELINA,Escuela Primaria Nº 28,164,Obras de albañilería en baños,Gdor Castro 3720,"-34.5330379,-58.5494822",165658,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA EDUCATIVA,EDUCACIÓN,NIÑOS,1,249,FINALIZADO
2015,VILLA ADELINA,Mejoramiento de Iluminación ,165,Mejoramiento de Iluminación ,R Obligado y Marcos Sastre hasta J José Ingenieros,"-34.5286524,-58.5478258",12524,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,39,FINALIZADO
2015,VILLA ADELINA,Mejoramiento de Iluminación ,166,Mejoramiento de Iluminación ,Santiago del Estero y M Pedraza hasta Primera Junta y Santiago del Estero,"-34.526379, -58.545448",112315,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,59,FINALIZADO
